3.93,2.02,4.4,3.25,2.79,2.14,1.25,3.34
4.95,3.18,5.36,3.87,3.09,2.32,1.62,3.42
5.11,3.01,5.99,4.32,4.23,2.54,1.89,3.82
5.24,2.91,6.07,4.07,4.46,2.55,1.91,3.87
5.09,3,6.09,4.01,4.56,2.99,1.76,3.48
5.07,3.07,6.3,4.34,3.89,3.19,1.94,3.64
3.08,2.21,3.16,2.85,3.14,2.5,0.63,2.97
5.18,2.82,6.69,4.06,3.78,3.11,1.46,3.5
5.67,2.87,6.43,4.3,3.94,3.17,2.09,4.04
5.49,2.85,6.24,4.06,3.95,3.2,1.62,4.02
6.39,2.9,6.22,4.28,3.69,3,1.52,4.54
5.98,2.79,6.31,4.11,4.19,3.19,1.93,4.32
6.46,1.72,5.04,3.53,3.03,2.39,0.82,3.88
6.45,2.35,5.79,3.86,3.62,2.99,1.01,4.3
6.97,2.64,6.32,3.91,3.97,3.31,1.4,4.78
7.91,2.62,6.49,3.53,3.92,3.27,1.48,5.13
7.74,2.61,6.12,4.23,3.98,3.3,1.33,4.68
7.54,2.5,6.11,4.71,3.16,3.02,1.56,6.97
5.87,1.94,4.48,3.67,2.85,2.91,0.74,3.5
6.32,2.24,5.45,4.31,3.12,3.01,1.08,3.69
6.97,2.47,6.25,4.67,3.42,3.4,1.57,3.69
6.66,2.54,6.58,3.86,3.69,2.98,1.67,4.78
6.25,2.53,5.95,4.54,3.79,3.04,1.55,3.66
5.53,2.63,5.95,3.74,4.69,3.07,1.6,3.51
5.28,2.74,5.55,4.03,4.12,2.92,1.38,3.15
5.5,3.19,6.26,4.26,4.46,3.25,1.75,3.68
6.07,3.39,7.58,4.81,4.57,3.28,1.85,3.67
5.79,3.11,6.93,4.86,4.73,3.48,2.24,4.74
5.89,4.5,6.68,4.62,4.58,3.42,2.49,4.28
5.86,3.4,6.89,4.51,4.35,3.33,2.29,3.9
3.99,3,3.58,2.61,3.25,2.23,0.91,3.35
5.59,3.05,5.71,3.99,4.97,2.94,2.18,3.88
5.82,3.38,8.36,5.54,5.19,3.56,2.71,5.8
4.87,2.67,7.29,4.6,4.3,3.2,2.18,4.44
5.22,2.65,7.69,4.56,4.22,3,2.33,3.49
5.31,2.66,6.7,4.91,3.93,2.86,2.49,4.3
4.04,1.61,4.87,3.12,2.78,2.95,1.08,2.54
4.67,2.77,6.64,4.83,3.53,2.72,1.67,3.85
5.17,2.63,6.33,4.9,3.72,2.94,2.36,4.01
5.25,2.63,6.34,4.77,3.85,3.35,2.03,3.99
5.18,2.66,6.09,4.72,3.9,3.33,1.7,3.12
5.24,2.69,6.17,4.8,4.34,3.17,2.19,3.5
4.81,1.59,5.49,3.14,2.7,2.88,1.26,2.94
5.03,2.34,5.55,4.54,3.46,3.05,1.2,3.45
5.51,2.89,6.46,4.93,4.01,3.4,1.95,3.27
5.51,2.86,6.4,4.87,4.02,3.36,1.72,4.02
5.59,3.14,6.59,4.85,3.58,3.61,2.02,3.1
